term,grade,origination_vintage,origination_amount,charged_off_date,charged_off_amount,MoB
36 months,C,2012-11-30,15105900,2014-09-30,60110,22
36 months,C,2012-11-30,15105900,2014-10-31,26506,23
36 months,C,2012-11-30,15105900,2014-11-30,51656,24
36 months,C,2012-11-30,15105900,2014-12-31,13374,25
36 months,C,2012-11-30,15105900,2015-01-31,37268,26
36 months,C,2012-11-30,15105900,2015-02-28,49116,27
36 months,C,2012-11-30,15105900,2015-03-31,20337,28
36 months,C,2012-11-30,15105900,2015-04-30,18806,29
36 months,C,2012-11-30,15105900,2015-05-31,16529,30
36 months,C,2012-11-30,15105900,2015-06-30,16314,31
36 months,C,2012-11-30,15105900,2015-07-31,18065,32
36 months,C,2012-11-30,15105900,2015-08-31,394,33
36 months,C,2012-11-30,15105900,2015-10-31,3438,35
36 months,C,2012-11-30,15105900,2015-11-30,2854,36
36 months,C,2012-12-31,15223475,,,
36 months,C,2012-12-31,15223475,2013-05-31,16375,5
36 months,C,2012-12-31,15223475,2013-06-30,29539,6
36 months,C,2012-12-31,15223475,2013-07-31,1435,7
36 months,C,2012-12-31,15223475,2013-08-31,35473,8
36 months,C,2012-12-31,15223475,2013-09-30,15664,9
36 months,C,2012-12-31,15223475,2013-10-31,58834,10
36 months,C,2012-12-31,15223475,2013-11-30,33928,11
36 months,C,2012-12-31,15223475,2013-12-31,73850,12
36 months,C,2012-12-31,15223475,2014-01-31,23630,13
36 months,C,2012-12-31,15223475,2014-02-28,73095,14
36 months,C,2012-12-31,15223475,2014-03-31,98953,15
36 months,C,2012-12-31,15223475,2014-04-30,53678,16
36 months,C,2012-12-31,15223475,2014-05-31,30450,17
36 months,C,2012-12-31,15223475,2014-06-30,100767,18
36 months,C,2012-12-31,15223475,2014-07-31,50748,19
36 months,C,2012-12-31,15223475,2014-08-31,60277,20
36 months,C,2012-12-31,15223475,2014-09-30,24219,21
36 months,C,2012-12-31,15223475,2014-10-31,37270,22
36 months,C,2012-12-31,15223475,2014-11-30,61181,23
36 months,C,2012-12-31,15223475,2014-12-31,44572,24
36 months,C,2012-12-31,15223475,2015-01-31,82660,25
36 months,C,2012-12-31,15223475,2015-02-28,47118,26
36 months,C,2012-12-31,15223475,2015-03-31,34706,27
36 months,C,2012-12-31,15223475,2015-04-30,34730,28
36 months,C,2012-12-31,15223475,2015-05-31,28526,29
36 months,C,2012-12-31,15223475,2015-06-30,53206,30
36 months,C,2012-12-31,15223475,2015-07-31,12124,31
36 months,C,2012-12-31,15223475,2015-08-31,24689,32
36 months,C,2012-12-31,15223475,2015-09-30,7669,33
36 months,C,2012-12-31,15223475,2015-10-31,6510,34
36 months,C,2013-01-31,18666625,,,
36 months,C,2013-01-31,18666625,2013-07-31,23233,6
36 months,C,2013-01-31,18666625,2013-08-31,4020,7
36 months,C,2013-01-31,18666625,2013-09-30,34949,8
36 months,C,2013-01-31,18666625,2013-10-31,102493,9
36 months,C,2013-01-31,18666625,2013-11-30,52125,10
36 months,C,2013-01-31,18666625,2013-12-31,33550,11
36 months,C,2013-01-31,18666625,2014-01-31,104878,12
36 months,C,2013-01-31,18666625,2014-02-28,99520,13
36 months,C,2013-01-31,18666625,2014-03-31,110170,14
36 months,C,2013-01-31,18666625,2014-04-30,36866,15
36 months,C,2013-01-31,18666625,2014-05-31,67847,16
36 months,C,2013-01-31,18666625,2014-06-30,97207,17
36 months,C,2013-01-31,18666625,2014-07-31,53391,18
36 months,C,2013-01-31,18666625,2014-08-31,48006,19
36 months,C,2013-01-31,18666625,2014-09-30,77647,20
36 months,C,2013-01-31,18666625,2014-10-31,23422,21
36 months,C,2013-01-31,18666625,2014-11-30,165566,22
36 months,C,2013-01-31,18666625,2014-12-31,95193,23
36 months,C,2013-01-31,18666625,2015-01-31,31641,24
36 months,C,2013-01-31,18666625,2015-02-28,21317,25
36 months,C,2013-01-31,18666625,2015-03-31,27677,26
36 months,C,2013-01-31,18666625,2015-04-30,39093,27
36 months,C,2013-01-31,18666625,2015-05-31,85105,28
36 months,C,2013-01-31,18666625,2015-06-30,51431,29
36 months,C,2013-01-31,18666625,2015-07-31,29573,30
36 months,C,2013-01-31,18666625,2015-08-31,9996,31
36 months,C,2013-01-31,18666625,2015-09-30,2694,32
36 months,C,2013-01-31,18666625,2015-10-31,1632,33
36 months,C,2013-01-31,18666625,2015-11-30,7387,34
36 months,C,2013-01-31,18666625,2015-12-31,19638,35
36 months,C,2013-02-28,20476950,,,
36 months,C,2013-02-28,20476950,2013-08-31,24905,6
36 months,C,2013-02-28,20476950,2013-09-30,16972,7
36 months,C,2013-02-28,20476950,2013-10-31,71479,8
36 months,C,2013-02-28,20476950,2013-11-30,24598,9
36 months,C,2013-02-28,20476950,2013-12-31,49127,10
36 months,C,2013-02-28,20476950,2014-01-31,53737,11
36 months,C,2013-02-28,20476950,2014-02-28,120742,12
36 months,C,2013-02-28,20476950,2014-03-31,84827,13
36 months,C,2013-02-28,20476950,2014-04-30,78782,14
36 months,C,2013-02-28,20476950,2014-05-31,135363,15
36 months,C,2013-02-28,20476950,2014-06-30,81678,16
36 months,C,2013-02-28,20476950,2014-07-31,124444,17
36 months,C,2013-02-28,20476950,2014-08-31,102511,18
36 months,C,2013-02-28,20476950,2014-09-30,103476,19
36 months,C,2013-02-28,20476950,2014-10-31,134729,20
36 months,C,2013-02-28,20476950,2014-11-30,31450,21
36 months,C,2013-02-28,20476950,2014-12-31,82927,22
36 months,C,2013-02-28,20476950,2015-01-31,84718,23
36 months,C,2013-02-28,20476950,2015-02-28,36193,24
36 months,C,2013-02-28,20476950,2015-03-31,78246,25
36 months,C,2013-02-28,20476950,2015-04-30,78241,26
36 months,C,2013-02-28,20476950,2015-05-31,50861,27
36 months,C,2013-02-28,20476950,2015-06-30,71383,28
36 months,C,2013-02-28,20476950,2015-07-31,25070,29
36 months,C,2013-02-28,20476950,2015-08-31,20960,30
36 months,C,2013-02-28,20476950,2015-09-30,16838,31
36 months,C,2013-03-31,20981450,,,
36 months,C,2013-03-31,20981450,2013-09-30,23818,6
36 months,C,2013-03-31,20981450,2013-10-31,11254,7
36 months,C,2013-03-31,20981450,2013-11-30,53695,8
36 months,C,2013-03-31,20981450,2013-12-31,26407,9
36 months,C,2013-03-31,20981450,2014-01-31,113594,10
36 months,C,2013-03-31,20981450,2014-02-28,103124,11
36 months,C,2013-03-31,20981450,2014-03-31,34666,12
36 months,C,2013-03-31,20981450,2014-04-30,62902,13
36 months,C,2013-03-31,20981450,2014-05-31,122970,14
36 months,C,2013-03-31,20981450,2014-06-30,116880,15
36 months,C,2013-03-31,20981450,2014-07-31,51709,16
36 months,C,2013-03-31,20981450,2014-08-31,82436,17
36 months,C,2013-03-31,20981450,2014-09-30,90391,18
36 months,C,2013-03-31,20981450,2014-10-31,174248,19
36 months,C,2013-03-31,20981450,2014-11-30,185049,20
36 months,C,2013-03-31,20981450,2014-12-31,113664,21
36 months,C,2013-03-31,20981450,2015-01-31,88883,22
36 months,C,2013-03-31,20981450,2015-02-28,63047,23
36 months,C,2013-03-31,20981450,2015-03-31,63522,24
36 months,C,2013-03-31,20981450,2015-04-30,28891,25
36 months,C,2013-03-31,20981450,2015-05-31,44921,26
36 months,C,2013-03-31,20981450,2015-06-30,31875,27
36 months,C,2013-03-31,20981450,2015-07-31,20607,28
36 months,C,2013-03-31,20981450,2015-08-31,2695,29
36 months,C,2013-04-30,22412600,,,
36 months,C,2013-04-30,22412600,2013-09-30,5500,5
36 months,C,2013-04-30,22412600,2013-10-31,53134,6
36 months,C,2013-04-30,22412600,2013-11-30,40413,7
36 months,C,2013-04-30,22412600,2013-12-31,85867,8
36 months,C,2013-04-30,22412600,2014-01-31,41964,9
36 months,C,2013-04-30,22412600,2014-02-28,76753,10
36 months,C,2013-04-30,22412600,2014-03-31,157219,11
36 months,C,2013-04-30,22412600,2014-04-30,73007,12
36 months,C,2013-04-30,22412600,2014-05-31,82081,13
36 months,C,2013-04-30,22412600,2014-06-30,97802,14
36 months,C,2013-04-30,22412600,2014-07-31,51473,15
36 months,C,2013-04-30,22412600,2014-08-31,138848,16
36 months,C,2013-04-30,22412600,2014-09-30,55408,17
36 months,C,2013-04-30,22412600,2014-10-31,94326,18
36 months,C,2013-04-30,22412600,2014-11-30,143438,19
36 months,C,2013-04-30,22412600,2014-12-31,109814,20
36 months,C,2013-04-30,22412600,2015-01-31,39569,21
36 months,C,2013-04-30,22412600,2015-02-28,71872,22
36 months,C,2013-04-30,22412600,2015-03-31,136063,23
36 months,C,2013-04-30,22412600,2015-04-30,44372,24
36 months,C,2013-04-30,22412600,2015-05-31,38139,25
36 months,C,2013-04-30,22412600,2015-06-30,34792,26
36 months,C,2013-04-30,22412600,2015-07-31,37975,27
36 months,C,2013-04-30,22412600,2015-08-31,20152,28
36 months,C,2013-04-30,22412600,2015-09-30,8984,29
36 months,C,2013-04-30,22412600,2015-11-30,13571,31
36 months,C,2013-05-31,22689875,,,
36 months,C,2013-05-31,22689875,2013-11-30,41819,6
36 months,C,2013-05-31,22689875,2013-12-31,32700,7
36 months,C,2013-05-31,22689875,2014-01-31,24242,8
36 months,C,2013-05-31,22689875,2014-02-28,76264,9
36 months,C,2013-05-31,22689875,2014-03-31,91518,10
36 months,C,2013-05-31,22689875,2014-04-30,50600,11
36 months,C,2013-05-31,22689875,2014-05-31,73108,12
36 months,C,2013-05-31,22689875,2014-06-30,115769,13
36 months,C,2013-05-31,22689875,2014-07-31,74439,14
36 months,C,2013-05-31,22689875,2014-08-31,123796,15
36 months,C,2013-05-31,22689875,2014-09-30,83126,16
36 months,C,2013-05-31,22689875,2014-10-31,154368,17
36 months,C,2013-05-31,22689875,2014-11-30,89329,18
36 months,C,2013-05-31,22689875,2014-12-31,136270,19
36 months,C,2013-05-31,22689875,2015-01-31,89792,20
36 months,C,2013-05-31,22689875,2015-02-28,55335,21
36 months,C,2013-05-31,22689875,2015-03-31,71702,22
36 months,C,2013-05-31,22689875,2015-04-30,59474,23
36 months,C,2013-05-31,22689875,2015-05-31,47143,24
36 months,C,2013-05-31,22689875,2015-06-30,57793,25
36 months,C,2013-05-31,22689875,2015-07-31,44505,26
36 months,C,2013-05-31,22689875,2015-08-31,19122,27
36 months,C,2013-05-31,22689875,2015-09-30,951,28
36 months,C,2013-06-30,23015400,,,
36 months,C,2013-06-30,23015400,2013-11-30,17900,5
36 months,C,2013-06-30,23015400,2013-12-31,8020,6
36 months,C,2013-06-30,23015400,2014-01-31,18662,7
36 months,C,2013-06-30,23015400,2014-02-28,66196,8
36 months,C,2013-06-30,23015400,2014-03-31,99185,9
36 months,C,2013-06-30,23015400,2014-04-30,25133,10
36 months,C,2013-06-30,23015400,2014-05-31,62241,11
36 months,C,2013-06-30,23015400,2014-06-30,124183,12
36 months,C,2013-06-30,23015400,2014-07-31,32976,13
36 months,C,2013-06-30,23015400,2014-08-31,206263,14
36 months,C,2013-06-30,23015400,2014-09-30,70876,15
36 months,C,2013-06-30,23015400,2014-10-31,103398,16
36 months,C,2013-06-30,23015400,2014-11-30,72457,17
36 months,C,2013-06-30,23015400,2014-12-31,155095,18
36 months,C,2013-06-30,23015400,2015-01-31,80694,19
36 months,C,2013-06-30,23015400,2015-02-28,122952,20
36 months,C,2013-06-30,23015400,2015-03-31,65135,21
36 months,C,2013-06-30,23015400,2015-04-30,45700,22
36 months,C,2013-06-30,23015400,2015-05-31,52239,23
36 months,C,2013-06-30,23015400,2015-06-30,77416,24
36 months,C,2013-06-30,23015400,2015-07-31,59605,25
36 months,C,2013-06-30,23015400,2015-08-31,15851,26
36 months,C,2013-06-30,23015400,2015-09-30,8921,27
36 months,C,2013-07-31,25778600,,,
36 months,C,2013-07-31,25778600,2013-12-31,15600,5
36 months,C,2013-07-31,25778600,2014-01-31,56131,6
36 months,C,2013-07-31,25778600,2014-02-28,97167,7
36 months,C,2013-07-31,25778600,2014-03-31,128693,8
36 months,C,2013-07-31,25778600,2014-04-30,41549,9
36 months,C,2013-07-31,25778600,2014-05-31,34265,10
36 months,C,2013-07-31,25778600,2014-06-30,85845,11
36 months,C,2013-07-31,25778600,2014-07-31,89258,12
36 months,C,2013-07-31,25778600,2014-08-31,125212,13
36 months,C,2013-07-31,25778600,2014-09-30,102027,14
36 months,C,2013-07-31,25778600,2014-10-31,107821,15
36 months,C,2013-07-31,25778600,2014-11-30,25663,16
36 months,C,2013-07-31,25778600,2014-12-31,122639,17
36 months,C,2013-07-31,25778600,2015-01-31,95272,18
36 months,C,2013-07-31,25778600,2015-02-28,82044,19
36 months,C,2013-07-31,25778600,2015-03-31,126227,20
36 months,C,2013-07-31,25778600,2015-04-30,80318,21
36 months,C,2013-07-31,25778600,2015-05-31,49798,22
36 months,C,2013-07-31,25778600,2015-06-30,68434,23
36 months,C,2013-07-31,25778600,2015-07-31,50759,24
36 months,C,2013-07-31,25778600,2015-08-31,30979,25
36 months,C,2013-07-31,25778600,2015-09-30,13758,26
36 months,C,2013-08-31,26725800,,,
36 months,C,2013-08-31,26725800,2014-01-31,10700,5
36 months,C,2013-08-31,26725800,2014-02-28,18001,6
36 months,C,2013-08-31,26725800,2014-03-31,50621,7
36 months,C,2013-08-31,26725800,2014-04-30,31439,8
36 months,C,2013-08-31,26725800,2014-05-31,44905,9
36 months,C,2013-08-31,26725800,2014-06-30,32702,10
36 months,C,2013-08-31,26725800,2014-07-31,120671,11
36 months,C,2013-08-31,26725800,2014-08-31,93131,12
36 months,C,2013-08-31,26725800,2014-09-30,202006,13
36 months,C,2013-08-31,26725800,2014-10-31,121476,14
36 months,C,2013-08-31,26725800,2014-11-30,75084,15
36 months,C,2013-08-31,26725800,2014-12-31,121554,16
36 months,C,2013-08-31,26725800,2015-01-31,98568,17
36 months,C,2013-08-31,26725800,2015-02-28,118762,18
36 months,C,2013-08-31,26725800,2015-03-31,83905,19
36 months,C,2013-08-31,26725800,2015-04-30,87368,20
36 months,C,2013-08-31,26725800,2015-05-31,63805,21
36 months,C,2013-08-31,26725800,2015-06-30,66380,22
36 months,C,2013-08-31,26725800,2015-07-31,43393,23
36 months,C,2013-08-31,26725800,2015-08-31,38272,24
36 months,C,2013-08-31,26725800,2015-09-30,5363,25
36 months,C,2013-09-30,27943550,,,
36 months,C,2013-09-30,27943550,2014-02-28,50375,5
36 months,C,2013-09-30,27943550,2014-03-31,91403,6
36 months,C,2013-09-30,27943550,2014-04-30,27757,7
36 months,C,2013-09-30,27943550,2014-05-31,74936,8
36 months,C,2013-09-30,27943550,2014-06-30,52332,9
36 months,C,2013-09-30,27943550,2014-07-31,96260,10
36 months,C,2013-09-30,27943550,2014-08-31,79395,11
36 months,C,2013-09-30,27943550,2014-09-30,137574,12
36 months,C,2013-09-30,27943550,2014-10-31,62845,13
36 months,C,2013-09-30,27943550,2014-11-30,115445,14
36 months,C,2013-09-30,27943550,2014-12-31,71667,15
36 months,C,2013-09-30,27943550,2015-01-31,193024,16
36 months,C,2013-09-30,27943550,2015-02-28,80768,17
36 months,C,2013-09-30,27943550,2015-03-31,94424,18
36 months,C,2013-09-30,27943550,2015-04-30,57816,19
36 months,C,2013-09-30,27943550,2015-05-31,88241,20
36 months,C,2013-09-30,27943550,2015-06-30,86817,21
36 months,C,2013-09-30,27943550,2015-07-31,41195,22
36 months,C,2013-09-30,27943550,2015-08-31,38008,23
36 months,C,2013-09-30,27943550,2015-09-30,7180,24
36 months,C,2013-09-30,27943550,2015-10-31,7263,25
36 months,C,2013-10-31,27510525,,,
36 months,C,2013-10-31,27510525,2014-03-31,24100,5
36 months,C,2013-10-31,27510525,2014-04-30,6799,6
36 months,C,2013-10-31,27510525,2014-05-31,34922,7
36 months,C,2013-10-31,27510525,2014-06-30,58821,8
36 months,C,2013-10-31,27510525,2014-07-31,55754,9
36 months,C,2013-10-31,27510525,2014-08-31,152743,10
36 months,C,2013-10-31,27510525,2014-09-30,91058,11
36 months,C,2013-10-31,27510525,2014-10-31,153349,12
36 months,C,2013-10-31,27510525,2014-11-30,130721,13
36 months,C,2013-10-31,27510525,2014-12-31,105944,14
36 months,C,2013-10-31,27510525,2015-01-31,133597,15
36 months,C,2013-10-31,27510525,2015-02-28,147502,16
36 months,C,2013-10-31,27510525,2015-03-31,115293,17
36 months,C,2013-10-31,27510525,2015-04-30,45565,18
36 months,C,2013-10-31,27510525,2015-05-31,59079,19
36 months,C,2013-10-31,27510525,2015-06-30,110476,20
36 months,C,2013-10-31,27510525,2015-07-31,64737,21
36 months,C,2013-10-31,27510525,2015-08-31,34863,22
36 months,C,2013-10-31,27510525,2015-09-30,3319,23
36 months,C,2013-11-30,31305875,,,
36 months,C,2013-11-30,31305875,2014-05-31,34077,6
36 months,C,2013-11-30,31305875,2014-06-30,70098,7
36 months,C,2013-11-30,31305875,2014-07-31,59487,8
36 months,C,2013-11-30,31305875,2014-08-31,173791,9
36 months,C,2013-11-30,31305875,2014-09-30,184818,10
36 months,C,2013-11-30,31305875,2014-10-31,230990,11
36 months,C,2013-11-30,31305875,2014-11-30,110291,12
36 months,C,2013-11-30,31305875,2014-12-31,180790,13
36 months,C,2013-11-30,31305875,2015-01-31,125965,14
36 months,C,2013-11-30,31305875,2015-02-28,124279,15
36 months,C,2013-11-30,31305875,2015-03-31,234032,16
36 months,C,2013-11-30,31305875,2015-04-30,91656,17
36 months,C,2013-11-30,31305875,2015-05-31,183218,18
36 months,C,2013-11-30,31305875,2015-06-30,68279,19
36 months,C,2013-11-30,31305875,2015-07-31,145189,20
36 months,C,2013-11-30,31305875,2015-08-31,48666,21
36 months,C,2013-11-30,31305875,2015-10-31,4345,23
36 months,C,2013-11-30,31305875,2015-12-31,1983,25
36 months,C,2013-12-31,35196275,,,
36 months,C,2013-12-31,35196275,2014-05-31,10400,5
36 months,C,2013-12-31,35196275,2014-07-31,91510,7
36 months,C,2013-12-31,35196275,2014-08-31,72008,8
36 months,C,2013-12-31,35196275,2014-09-30,90003,9
36 months,C,2013-12-31,35196275,2014-10-31,95993,10
36 months,C,2013-12-31,35196275,2014-11-30,94806,11
36 months,C,2013-12-31,35196275,2014-12-31,114216,12
36 months,C,2013-12-31,35196275,2015-01-31,99590,13
36 months,C,2013-12-31,35196275,2015-02-28,134947,14
36 months,C,2013-12-31,35196275,2015-03-31,158071,15
36 months,C,2013-12-31,35196275,2015-04-30,158070,16
36 months,C,2013-12-31,35196275,2015-05-31,163135,17
36 months,C,2013-12-31,35196275,2015-06-30,170663,18
36 months,C,2013-12-31,35196275,2015-07-31,63091,19
36 months,C,2013-12-31,35196275,2015-08-31,20571,20
36 months,C,2013-12-31,35196275,2015-10-31,38475,22
36 months,C,2014-01-31,40550175,,,
36 months,C,2014-01-31,40550175,2014-06-30,10975,5
36 months,C,2014-01-31,40550175,2014-07-31,21517,6
36 months,C,2014-01-31,40550175,2014-08-31,78647,7
36 months,C,2014-01-31,40550175,2014-09-30,121316,8
36 months,C,2014-01-31,40550175,2014-10-31,133450,9
36 months,C,2014-01-31,40550175,2014-11-30,93437,10
36 months,C,2014-01-31,40550175,2014-12-31,133083,11
36 months,C,2014-01-31,40550175,2015-01-31,214022,12
36 months,C,2014-01-31,40550175,2015-02-28,171726,13
36 months,C,2014-01-31,40550175,2015-03-31,234594,14
36 months,C,2014-01-31,40550175,2015-04-30,104228,15
36 months,C,2014-01-31,40550175,2015-05-31,95866,16
36 months,C,2014-01-31,40550175,2015-06-30,145430,17
36 months,C,2014-01-31,40550175,2015-07-31,102649,18
36 months,C,2014-01-31,40550175,2015-08-31,34698,19
36 months,C,2014-01-31,40550175,2015-09-30,4558,20
36 months,C,2014-01-31,40550175,2015-10-31,25946,21
36 months,C,2014-01-31,40550175,2015-11-30,5506,22
36 months,C,2014-02-28,38321825,,,
36 months,C,2014-02-28,38321825,2014-07-31,35000,5
36 months,C,2014-02-28,38321825,2014-08-31,27757,6
36 months,C,2014-02-28,38321825,2014-09-30,72932,7
36 months,C,2014-02-28,38321825,2014-10-31,96087,8
36 months,C,2014-02-28,38321825,2014-11-30,42984,9
36 months,C,2014-02-28,38321825,2014-12-31,86415,10
36 months,C,2014-02-28,38321825,2015-01-31,88974,11
36 months,C,2014-02-28,38321825,2015-02-28,165655,12
36 months,C,2014-02-28,38321825,2015-03-31,214993,13
36 months,C,2014-02-28,38321825,2015-04-30,114346,14
36 months,C,2014-02-28,38321825,2015-05-31,94879,15
36 months,C,2014-02-28,38321825,2015-06-30,162853,16
36 months,C,2014-02-28,38321825,2015-07-31,85793,17
36 months,C,2014-02-28,38321825,2015-08-31,46767,18
36 months,C,2014-02-28,38321825,2015-09-30,4290,19
36 months,C,2014-02-28,38321825,2015-11-30,26140,21
36 months,C,2014-03-31,41276750,,,
36 months,C,2014-03-31,41276750,2014-08-31,38425,5
36 months,C,2014-03-31,41276750,2014-09-30,58567,6
36 months,C,2014-03-31,41276750,2014-10-31,35836,7
36 months,C,2014-03-31,41276750,2014-11-30,41774,8
36 months,C,2014-03-31,41276750,2014-12-31,226277,9
36 months,C,2014-03-31,41276750,2015-01-31,94347,10
36 months,C,2014-03-31,41276750,2015-02-28,325773,11
36 months,C,2014-03-31,41276750,2015-03-31,143657,12
36 months,C,2014-03-31,41276750,2015-04-30,88921,13
36 months,C,2014-03-31,41276750,2015-05-31,191309,14
36 months,C,2014-03-31,41276750,2015-06-30,178233,15
36 months,C,2014-03-31,41276750,2015-07-31,196281,16
36 months,C,2014-03-31,41276750,2015-08-31,35589,17
36 months,C,2014-03-31,41276750,2015-09-30,21012,18
36 months,C,2014-03-31,41276750,2015-10-31,8055,19
36 months,C,2014-04-30,40876750,,,
36 months,C,2014-04-30,40876750,2014-09-30,14000,5
36 months,C,2014-04-30,40876750,2014-10-31,33183,6
36 months,C,2014-04-30,40876750,2014-11-30,73072,7
36 months,C,2014-04-30,40876750,2014-12-31,99904,8
36 months,C,2014-04-30,40876750,2015-01-31,232673,9
36 months,C,2014-04-30,40876750,2015-02-28,158227,10
36 months,C,2014-04-30,40876750,2015-03-31,229186,11
36 months,C,2014-04-30,40876750,2015-04-30,248259,12
36 months,C,2014-04-30,40876750,2015-05-31,114813,13
36 months,C,2014-04-30,40876750,2015-06-30,179600,14
36 months,C,2014-04-30,40876750,2015-07-31,98915,15
36 months,C,2014-04-30,40876750,2015-08-31,23354,16
36 months,C,2014-04-30,40876750,2015-09-30,27157,17
36 months,C,2014-04-30,40876750,2015-10-31,16035,18
36 months,C,2014-04-30,40876750,2015-11-30,25726,19
36 months,C,2014-05-31,42535250,,,
36 months,C,2014-05-31,42535250,2014-10-31,3200,5
36 months,C,2014-05-31,42535250,2014-11-30,46298,6
36 months,C,2014-05-31,42535250,2014-12-31,32140,7
36 months,C,2014-05-31,42535250,2015-01-31,101934,8
36 months,C,2014-05-31,42535250,2015-02-28,121772,9
36 months,C,2014-05-31,42535250,2015-03-31,169007,10
36 months,C,2014-05-31,42535250,2015-04-30,139253,11
